05:10:11.284  AlertTime [090000929067], Spend Time [13], rtncode [0], msg [0]
05:10:11.284  AlertTime [090028828267], Spend Time [47], rtncode [0], msg [0]
05:10:11.284  AlertTime [090039059209], Spend Time [13], rtncode [0], msg [0]
05:10:11.284  AlertTime [090003810622], Spend Time [13], rtncode [0], msg [0]
05:10:11.284  AlertTime [090002532298], Spend Time [40], rtncode [0], msg [0]
05:10:11.284  AlertTime [090036799670], Spend Time [49], rtncode [0], msg [0]
05:10:11.284  AlertTime [090046190105], Spend Time [23], rtncode [0], msg [0]
05:10:11.284  AlertTime [090014666965], Spend Time [14], rtncode [0], msg [0]
05:10:11.284  AlertTime [090022431624], Spend Time [39], rtncode [0], msg [0]
05:10:11.284  AlertTime [090008334498], Spend Time [14], rtncode [0], msg [0]
05:10:11.284  AlertTime [090047625989], Spend Time [68], rtncode [0], msg [0]
05:10:11.284  AlertTime [090030269910], Spend Time [42], rtncode [0], msg [0]
05:10:11.284  AlertTime [090106395241], Spend Time [43], rtncode [0], msg [0]
05:10:11.284  AlertTime [090006678591], Spend Time [14], rtncode [0], msg [0]
05:10:11.284  AlertTime [090010779924], Spend Time [14], rtncode [0], msg [0]
05:10:11.284  AlertTime [090002116866], Spend Time [70], rtncode [0], msg [0]
05:10:11.284  AlertTime [090003603819], Spend Time [15], rtncode [0], msg [0]
05:10:11.284  AlertTime [090011598352], Spend Time [50], rtncode [0], msg [0]
05:10:11.284  AlertTime [090102905537], Spend Time [15], rtncode [0], msg [0]
05:10:11.284  AlertTime [090106182569], Spend Time [25], rtncode [0], msg [0]
